,Date/Time,Effective Drop Date,Reason,Drop Type,user_ID,chapter_ID
135,30 June 20 07:06:11,01/05/2020,,System,434.0,22
136,24 June 20 03:16:56,23/06/2020,Other networking projects,Resigned,480.0,25
137,19 June 20 19:47:50,19/06/2020,Personal Reasons,Resigned,1191.0,20
138,18 June 20 21:30:37,18/06/2020,Did Not Renew - No reason Given,Terminated,2367.0,17
139,17 June 20 15:51:19,17/06/2020,Other Reason (see notes),Terminated,2738.0,17
140,17 June 20 14:17:22,31/05/2020,Affordability of Costs,Resigned,119.0,11
141,16 June 20 20:03:32,01/06/2020,Other Reason (see notes),Terminated,1466.0,28
142,16 June 20 02:08:58,11/06/2020,No Reason Entered,Resigned,603.0,8
143,15 June 20 23:36:41,11/06/2020,Changed Job,Resigned,1834.0,8
144,15 June 20 23:35:17,11/06/2020,*Economic Distress,Resigned,2694.0,8
145,15 June 20 18:53:22,15/06/2020,Personal Reasons,Resigned,2744.0,22
146,15 June 20 13:42:24,15/06/2020,Other Reason (see notes),Resigned,2861.0,11
147,11 June 20 00:15:58,15/05/2020,Member Relocated,Resigned,1270.0,22
148,11 June 20 00:14:08,21/05/2020,Takes Too Much Time,Resigned,74.0,22
149,9 June 20 17:35:36,09/06/2020,Member Transferred BNI Chapters,Resigned,35.0,23
150,8 June 20 13:06:39,26/05/2020,Personal Reasons,Resigned,73.0,10
151,3 June 20 16:16:52,20/05/2020,Other Reason (see notes),Terminated,935.0,20
152,31 May 20 07:05:41,01/04/2020,,System,367.0,7
153,28 May 20 16:19:52,27/05/2020,Terminated by Chapter - Code of Ethics,Terminated,1781.0,16
154,28 May 20 16:18:35,27/05/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1806.0,5
155,27 May 20 16:47:05,27/05/2020,Personal Reasons,Resigned,2905.0,31
156,26 May 20 16:41:38,26/05/2020,Terminated by Chapter - Participation,Terminated,2756.0,31
157,25 May 20 23:26:30,19/05/2020,Other Reason (see notes),Resigned,563.0,28
158,22 May 20 14:15:18,13/05/2020,Scheduling Conflicts,Resigned,355.0,11
159,21 May 20 18:25:04,14/05/2020,Changed Job,Resigned,1084.0,8
